chapter_id,chapter_name,zone,region,chapter_type,account_type,city,state,country,lat,lon,snapshot_date
a0M6g00000BqR4W,California State University-San Luis Obispo,Northern California Zone,Region 6,Collegiate Chapter,Chapter,SAN LUIS OBISPO,California,United States,36.29716667088464,-119.52793993083434,2026-06-19
a0M6g00000BqR4Z,Stanford University,Northern California Zone,Region 6,Collegiate Chapter,Chapter,Stanford,California,United States,36.06866812784257,-119.59244781150828,2026-06-19
a0M6g00000BqR4g,Loyola Marymount University NSBE Chapter,Southern California Zone,Region 6,Collegiate Chapter,Chapter,LOS ANGELES,California,United States,36.175071578238914,-119.57667137891163,2026-06-19
a0M6g00000BqR4p,University of California-Santa Cruz,Northern California Zone,Region 6,Collegiate Chapter,Chapter,Santa Cruz,California,United States,35.82531402479792,-119.74049881848057,2026-06-19
a0M6g00000BqR5D,University of Southern California (USC),Southern California Zone,Region 6,Collegiate Chapter,Chapter,Los Angeles,California,United States,35.79533292170332,-119.68577042652883,2026-06-19
a0M6g00000BqR5Y,University of California-Santa Barbara,Southern California Zone,Region 6,Collegiate Chapter,Chapter,SANTA BARBARA,California,United States,35.99710584863295,-119.93039706779376,2026-06-19
a0M6g00000BqR5Z,"University Of California, San Diego",Southern California Zone,Region 6,Collegiate Chapter,Chapter,LA JOLLA,California,United States,35.83858507740578,-119.6202127994756,2026-06-19
a0M6g00000BqR5b,University Of California-Irvine,,Region 6,Collegiate Chapter,Chapter,Irvine,California,United States,35.88561807797582,-119.38397991713623,2026-06-19
a0M6g00000BqR5c,University of California-Davis,Northern California Zone,Region 6,Collegiate Chapter,Chapter,DAVIS,California,United States,36.17294579779028,-119.78875513682561,2026-06-19
a0M6g00000BqR5d,University of California-Berkeley-BESSA,Northern California Zone,Region 6,Collegiate Chapter,Chapter,BERKELEY,California,United States,36.17984384403699,-120.0156012902792,2026-06-19
a0M6g00000BqR5h,University of California-Merced NSBE Chapter,Northern California Zone,Region 6,Collegiate Chapter,Chapter,Merced,California,United States,36.43719444926901,-119.69395159413996,2026-06-19
a0M6g00000BqRfU,NSBE at UC Irvine Chapter,,Region 6,Collegiate Chapter,Chapter,Irvine,California,United States,36.3141176590752,-119.97365300005428,2026-06-19
a0M6g00000BqRfY,Southern California NSBE Jr.,Southern California Zone,Region 6,NSBE Jr. Chapter,Chapter,Los Angeles,California,United States,36.10686383158671,-119.68806910395183,2026-06-19
